village_id,village,district,province,population,watershed,forest_loss
1602100009,UNION CHALLUANA,SANTA CRUZ,ALTO AMAZONAS,34,Intercuenca Bajo Huallaga,89.742765
1602100029,NUEVO TRIUNFO,SANTA CRUZ,ALTO AMAZONAS,146,Intercuenca Bajo Huallaga,46.4311775
1602100026,NUEVA ESPERANZA,SANTA CRUZ,ALTO AMAZONAS,53,Intercuenca Bajo Huallaga,76.6406725
1602100031,NUEVO PARAISO,SANTA CRUZ,ALTO AMAZONAS,84,Intercuenca Bajo Huallaga,31.294005000000002
1602100007,NUEVA ESPERANZA DEL YURAC,SANTA CRUZ,ALTO AMAZONAS,136,Intercuenca Bajo Huallaga,73.10516750000001
1602100014,UNION ULLPACA_O,SANTA CRUZ,ALTO AMAZONAS,66,Intercuenca Bajo Huallaga,43.02089875
1602050001,JEBEROS,JEBEROS,ALTO AMAZONAS,2009,Intercuenca Bajo Huallaga,150.66392875
1602060001,LAGUNAS,LAGUNAS,ALTO AMAZONAS,7396,Intercuenca Bajo Huallaga,81.60402375
1602100001,SANTA CRUZ,SANTA CRUZ,ALTO AMAZONAS,787,Intercuenca Bajo Huallaga,90.906295
1606020001,INAHUAYA,INAHUAYA,UCAYALI,1190,Intercuenca 49913,69.7665175
1606060001,ORELLANA,VARGAS GUERRA,UCAYALI,6192,Intercuenca 49913,130.61162625
1606050057,MIGUEL GRAU,SARAYACU,UCAYALI,320,Intercuenca 49913,89.62018875
1606050027,PUCA PANGA,SARAYACU,UCAYALI,575,Intercuenca 49913,54.2363275
1606050029,PAINACO,SARAYACU,UCAYALI,247,Intercuenca 49913,59.62445625
1606050004,JUANCITO,SARAYACU,UCAYALI,2211,Intercuenca 49913,57.65883125
1605030001,FLOR DE PUNGA,CAPELO,REQUENA,2046,Intercuenca 49913,33.796468749999995
1605050004,SAN ROQUE,MAQUIA,REQUENA,1340,Intercuenca 49913,85.15706875
1605040001,TAMANCO,EMILIO SAN MARTIN,REQUENA,1416,Intercuenca 49913,55.12388
1605090001,IBERIA,TAPICHE,REQUENA,520,Intercuenca 49913,28.1339025
1606050005,TIERRA BLANCA,SARAYACU,UCAYALI,1755,Intercuenca 49913,110.7742475
