id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1602010104,87,VILLA HERMOSA,YURIMAGUAS,ALTO AMAZONAS,Qda Yanayacu,Hydro10,Hydro63,Cuenca Paranapura
1602010110,51,NUEVA ALIANZA,YURIMAGUAS,ALTO AMAZONAS,Qda Yanayacu,Hydro10,Hydro63,Cuenca Paranapura
1602010112,81,NUEVO PIJUAYAL,YURIMAGUAS,ALTO AMAZONAS,Qda Yanayacu,Hydro10,Hydro63,Cuenca Paranapura
1602010009,255,JEBERILLOS,YURIMAGUAS,ALTO AMAZONAS,Rio Zapote,Hydro10,Hydro53,Intercuenca Bajo Huallga
1602010017,215,SAN JUAN DE ZAPOTE,YURIMAGUAS,ALTO AMAZONAS,Rio Zapote,Hydro10,Hydro53,Intercuenca Bajo Huallga
1602010139,30,AGUAS BLANCAS,YURIMAGUAS,ALTO AMAZONAS,Rio Zapote,Hydro10,Hydro53,Intercuenca Bajo Huallga
1607060012,249,PURANCHIN,ANDOAS,DATEM DEL MARA_ON,Qda Shuruntsa (Sinchiyacu),Hydro11,Hydro69,Cuenca Pastaza
1607060011,116,WAYUSENTZA,ANDOAS,DATEM DEL MARA_ON,Qda Shuruntsa (Sinchiyacu),Hydro11,Hydro69,Cuenca Pastaza
1607060016,173,SANCHIK,ANDOAS,DATEM DEL MARA_ON,Qda Shuruntsa (Sinchiyacu),Hydro11,Hydro69,Cuenca Pastaza
1607060027,167,WAMPINTZA,ANDOAS,DATEM DEL MARA_ON,Qda Shuruntsa (Sinchiyacu),Hydro11,Hydro69,Cuenca Pastaza
1607060039,85,WAKNIR,ANDOAS,DATEM DEL MARA_ON,Qda Shuruntsa (Sinchiyacu),Hydro11,Hydro69,Cuenca Pastaza
1607060001,471,ALIANZA CRISTIANA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060032,85,TSUATENTZA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060034,47,KUNAMENTZA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060060,62,UNION ANTONIETA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060053,150,COCHAPURAHUA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060023,181,TSEKUNTSA,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
